gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,Passed
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,69,80,71,73.33333333333333,1
female,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,59,58,59,58.666666666666664,0
male,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Tidak Ikut Bimbel,67,64,61,64.0,1
male,Kelompok Sosial Ekonomi 4,some high school,Subsidi Sekolah,Tidak Ikut Bimbel,45,37,37,39.666666666666664,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,60,72,74,68.66666666666667,1
male,Kelompok Sosial Ekonomi 2,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,61,58,56,58.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,39,64,57,53.333333333333336,0
female,Kelompok Sosial Ekonomi 4,some college,Subsidi Sekolah,Selesai Ikut Bimbel,58,63,73,64.66666666666667,1
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Selesai Ikut Bimbel,63,55,63,60.333333333333336,1
female,Kelompok Sosial Ekonomi 1 (Rendah),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,41,51,48,46.666666666666664,0
male,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Tidak Ikut Bimbel,61,57,56,58.0,0
male,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Bayar Sendiri,Tidak Ikut Bimbel,49,49,41,46.333333333333336,0
male,Kelompok Sosial Ekonomi 2,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,44,41,38,41.0,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),some high school,Bayar Sendiri,Tidak Ikut Bimbel,30,26,22,26.0,0
male,Kelompok Sosial Ekonomi 1 (Rendah),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,80,78,81,79.66666666666667,1
female,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Selesai Ikut Bimbel,61,74,72,69.0,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),master's degree,Bayar Sendiri,Tidak Ikut Bimbel,62,68,68,66.0,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,47,49,50,48.666666666666664,0
male,Kelompok Sosial Ekonomi 2,high school,Subsidi Sekolah,Tidak Ikut Bimbel,49,45,45,46.333333333333336,0
male,Kelompok Sosial Ekonomi 1 (Rendah),some college,Subsidi Sekolah,Selesai Ikut Bimbel,50,47,54,50.333333333333336,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,72,64,63,66.33333333333333,1
male,Kelompok Sosial Ekonomi 4,high school,Subsidi Sekolah,Tidak Ikut Bimbel,42,39,34,38.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,73,80,82,78.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,76,83,88,82.33333333333333,1
female,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,71,71,74,72.0,1
female,Kelompok Sosial Ekonomi 1 (Rendah),some college,Bayar Sendiri,Tidak Ikut Bimbel,58,70,67,65.0,1
female,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,73,86,82,80.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,65,72,74,70.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Subsidi Sekolah,Tidak Ikut Bimbel,27,34,36,32.333333333333336,0
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,71,79,71,73.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,43,45,50,46.0,0
female,Kelompok Sosial Ekonomi 2,some college,Bayar Sendiri,Tidak Ikut Bimbel,79,86,92,85.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,78,81,82,80.33333333333333,1
male,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Selesai Ikut Bimbel,65,66,62,64.33333333333333,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Selesai Ikut Bimbel,63,72,70,68.33333333333333,1
female,Kelompok Sosial Ekonomi 4,some college,Subsidi Sekolah,Tidak Ikut Bimbel,58,67,62,62.333333333333336,1
female,Kelompok Sosial Ekonomi 4,bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,65,67,62,64.66666666666667,1
male,Kelompok Sosial Ekonomi 2,some college,Bayar Sendiri,Tidak Ikut Bimbel,79,67,67,71.0,1
male,Kelompok Sosial Ekonomi 4,bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,68,74,74,72.0,1
female,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,85,91,89,88.33333333333333,1
male,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Selesai Ikut Bimbel,60,44,47,50.333333333333336,0
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Selesai Ikut Bimbel,98,86,90,91.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,58,67,72,65.66666666666667,1
female,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Tidak Ikut Bimbel,87,100,100,95.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,66,63,64,64.33333333333333,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,52,76,70,66.0,1
female,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Tidak Ikut Bimbel,70,64,72,68.66666666666667,1
female,Kelompok Sosial Ekonomi 4,associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,77,89,98,88.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,62,55,49,55.333333333333336,0
male,Kelompok Sosial Ekonomi 1 (Rendah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,54,53,47,51.333333333333336,0
female,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,51,58,54,54.333333333333336,0
female,Kelompok Sosial Ekonomi 5 (Tinggi),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,99,100,100,99.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,84,77,74,78.33333333333333,1
female,Kelompok Sosial Ekonomi 2,bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,75,85,82,80.66666666666667,1
female,Kelompok Sosial Ekonomi 4,bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,78,82,79,79.66666666666667,1
female,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,51,63,61,58.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,55,69,65,63.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,79,92,89,86.66666666666667,1
male,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,91,89,92,90.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Selesai Ikut Bimbel,88,93,93,91.33333333333333,1
male,Kelompok Sosial Ekonomi 4,high school,Subsidi Sekolah,Tidak Ikut Bimbel,63,57,56,58.666666666666664,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Bayar Sendiri,Tidak Ikut Bimbel,83,80,73,78.66666666666667,1
female,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Tidak Ikut Bimbel,87,95,86,89.33333333333333,1
male,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Tidak Ikut Bimbel,72,68,67,69.0,1
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Selesai Ikut Bimbel,65,77,74,72.0,1
male,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Tidak Ikut Bimbel,82,82,74,79.33333333333333,1
female,Kelompok Sosial Ekonomi 1 (Rendah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,51,49,51,50.333333333333336,0
male,Kelompok Sosial Ekonomi 4,master's degree,Bayar Sendiri,Tidak Ikut Bimbel,89,84,82,85.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Selesai Ikut Bimbel,53,37,40,43.333333333333336,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Subsidi Sekolah,Selesai Ikut Bimbel,87,74,70,77.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Selesai Ikut Bimbel,75,81,84,80.0,1
male,Kelompok Sosial Ekonomi 4,bachelor's degree,Subsidi Sekolah,Selesai Ikut Bimbel,74,79,75,76.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,58,55,48,53.666666666666664,0
male,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Selesai Ikut Bimbel,51,54,41,48.666666666666664,0
male,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Bayar Sendiri,Tidak Ikut Bimbel,70,55,56,60.333333333333336,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,59,66,67,64.0,1
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Selesai Ikut Bimbel,71,61,69,67.0,1
female,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,76,72,71,73.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,59,62,64,61.666666666666664,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Subsidi Sekolah,Selesai Ikut Bimbel,42,55,54,50.333333333333336,0
male,Kelompok Sosial Ekonomi 1 (Rendah),high school,Bayar Sendiri,Tidak Ikut Bimbel,57,43,47,49.0,0
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,88,73,78,79.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,22,39,33,31.333333333333332,0
male,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Tidak Ikut Bimbel,88,84,75,82.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,73,68,66,69.0,1
female,Kelompok Sosial Ekonomi 4,bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,68,75,81,74.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,100,100,93,97.66666666666667,1
male,Kelompok Sosial Ekonomi 1 (Rendah),some high school,Bayar Sendiri,Selesai Ikut Bimbel,62,67,69,66.0,1
male,Kelompok Sosial Ekonomi 1 (Rendah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,77,67,68,70.66666666666667,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,59,70,66,65.0,1
male,Kelompok Sosial Ekonomi 4,bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,54,49,47,50.0,0
male,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Tidak Ikut Bimbel,62,67,61,63.333333333333336,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Selesai Ikut Bimbel,70,89,88,82.33333333333333,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Subsidi Sekolah,Selesai Ikut Bimbel,66,74,78,72.66666666666667,1
male,Kelompok Sosial Ekonomi 2,some college,Subsidi Sekolah,Tidak Ikut Bimbel,60,60,60,60.0,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,61,86,87,78.0,1
male,Kelompok Sosial Ekonomi 4,associate's degree,Subsidi Sekolah,Tidak Ikut Bimbel,66,62,64,64.0,1
male,Kelompok Sosial Ekonomi 2,associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,82,78,74,78.0,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),some college,Subsidi Sekolah,Selesai Ikut Bimbel,75,88,85,82.66666666666667,1
male,Kelompok Sosial Ekonomi 2,master's degree,Subsidi Sekolah,Tidak Ikut Bimbel,49,53,52,51.333333333333336,0
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Bayar Sendiri,Tidak Ikut Bimbel,52,53,49,51.333333333333336,0
female,Kelompok Sosial Ekonomi 5 (Tinggi),master's degree,Bayar Sendiri,Tidak Ikut Bimbel,81,92,91,88.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Selesai Ikut Bimbel,96,100,100,98.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),high school,Subsidi Sekolah,Selesai Ikut Bimbel,53,51,51,51.666666666666664,0
female,Kelompok Sosial Ekonomi 2,master's degree,Subsidi Sekolah,Selesai Ikut Bimbel,58,76,78,70.66666666666667,1
female,Kelompok Sosial Ekonomi 2,high school,Bayar Sendiri,Selesai Ikut Bimbel,68,83,78,76.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Selesai Ikut Bimbel,67,75,70,70.66666666666667,1
male,Kelompok Sosial Ekonomi 1 (Rendah),high school,Bayar Sendiri,Selesai Ikut Bimbel,72,73,74,73.0,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),some high school,Bayar Sendiri,Tidak Ikut Bimbel,94,88,78,86.66666666666667,1
female,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Tidak Ikut Bimbel,79,86,81,82.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,63,67,70,66.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Subsidi Sekolah,Selesai Ikut Bimbel,43,51,54,49.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),master's degree,Bayar Sendiri,Selesai Ikut Bimbel,81,91,87,86.33333333333333,1
female,Kelompok Sosial Ekonomi 2,high school,Subsidi Sekolah,Selesai Ikut Bimbel,46,54,58,52.666666666666664,0
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,71,77,77,75.0,1
female,Kelompok Sosial Ekonomi 2,master's degree,Subsidi Sekolah,Selesai Ikut Bimbel,52,70,62,61.333333333333336,1
female,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Selesai Ikut Bimbel,97,100,100,99.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),master's degree,Subsidi Sekolah,Selesai Ikut Bimbel,62,68,75,68.33333333333333,1
female,Kelompok Sosial Ekonomi 3 (Menengah),some college,Subsidi Sekolah,Tidak Ikut Bimbel,46,64,66,58.666666666666664,0
female,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Bayar Sendiri,Tidak Ikut Bimbel,50,50,47,49.0,0
female,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,65,69,70,68.0,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Selesai Ikut Bimbel,45,52,49,48.666666666666664,0
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Subsidi Sekolah,Selesai Ikut Bimbel,65,67,65,65.66666666666667,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Bayar Sendiri,Tidak Ikut Bimbel,80,76,65,73.66666666666667,1
male,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Selesai Ikut Bimbel,62,66,68,65.33333333333333,1
male,Kelompok Sosial Ekonomi 2,some high school,Subsidi Sekolah,Tidak Ikut Bimbel,48,52,45,48.333333333333336,0
female,Kelompok Sosial Ekonomi 3 (Menengah),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,77,88,87,84.0,1
female,Kelompok Sosial Ekonomi 5 (Tinggi),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,66,65,69,66.66666666666667,1
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Selesai Ikut Bimbel,76,83,79,79.33333333333333,1
female,Kelompok Sosial Ekonomi 2,some high school,Bayar Sendiri,Tidak Ikut Bimbel,62,64,66,64.0,1
male,Kelompok Sosial Ekonomi 4,some college,Bayar Sendiri,Selesai Ikut Bimbel,77,62,62,67.0,1
female,Kelompok Sosial Ekonomi 3 (Menengah),master's degree,Bayar Sendiri,Selesai Ikut Bimbel,69,84,85,79.33333333333333,1
male,Kelompok Sosial Ekonomi 4,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,61,55,52,56.0,0
male,Kelompok Sosial Ekonomi 3 (Menengah),some high school,Subsidi Sekolah,Selesai Ikut Bimbel,59,69,65,64.33333333333333,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),high school,Subsidi Sekolah,Tidak Ikut Bimbel,55,56,51,54.0,0
female,Kelompok Sosial Ekonomi 2,some college,Subsidi Sekolah,Tidak Ikut Bimbel,45,53,55,51.0,0
female,Kelompok Sosial Ekonomi 2,bachelor's degree,Subsidi Sekolah,Tidak Ikut Bimbel,78,79,76,77.66666666666667,1
female,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Selesai Ikut Bimbel,67,84,86,79.0,1
female,Kelompok Sosial Ekonomi 4,some college,Subsidi Sekolah,Tidak Ikut Bimbel,65,81,77,74.33333333333333,1
male,Kelompok Sosial Ekonomi 3 (Menengah),associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,69,77,69,71.66666666666667,1
female,Kelompok Sosial Ekonomi 2,associate's degree,Bayar Sendiri,Tidak Ikut Bimbel,57,69,68,64.66666666666667,1
male,Kelompok Sosial Ekonomi 3 (Menengah),some college,Bayar Sendiri,Tidak Ikut Bimbel,59,41,42,47.333333333333336,0
male,Kelompok Sosial Ekonomi 4,some high school,Bayar Sendiri,Selesai Ikut Bimbel,74,71,78,74.33333333333333,1
male,Kelompok Sosial Ekonomi 5 (Tinggi),bachelor's degree,Bayar Sendiri,Tidak Ikut Bimbel,82,62,62,68.66666666666667,1
